activity	time	p	p_peak	p_smooth
Hunting	1105.0	3.8896588520098024e-4	0.3578898285893655	0.35847960928736083
Bowling	1105.0	9.225982099412143e-4	0.7484370272485542	0.7585527209011967
Rollerblading	1105.0	1.6771724259012302e-4	0.5267131636014076	0.5375456682054384
Golfing	1105.0	0.0010246296486760387	0.4369894210173299	0.4382879892135965
Boating	1105.0	3.409559112366036e-4	0.5062305500655243	0.49208738119179524
Playing baseball	1105.0	2.944653805661166e-4	0.6307489401831	0.6135254138087095
Running	1110.0	0.0010031239793953375	0.6844162356842685	0.6208712723897684
Hiking	1110.0	1.0094083288652659e-4	0.19954392490199063	0.17774312674271278
Biking	1110.0	8.297914746007496e-4	1.0	0.9300007852258773
Walking	1110.0	0.004298614028599341	0.9297244425662452	0.8478705247935258
Doing yoga	1110.0	3.903608621097839e-4	0.9143620581976324	0.9060695019085717
Fishing	1110.0	0.001115068102082531	0.6671263891806392	0.6436146758886582
Dancing	1110.0	2.6164957698998186e-4	0.3509877953220246	0.35519294862650463
Playing football	1110.0	5.899895168307169e-4	0.6103257735741314	0.5559491815775303
Softball	1110.0	4.497649686779729e-4	0.7552809679453649	0.7661243620079475
Playing soccer	1110.0	6.284739794650079e-4	0.7807161710438745	0.7652391564275393
Doing aerobics	1110.0	4.4702074921882474e-4	0.7308299458260377	0.6622752024946504
Hunting	1110.0	3.908888616558386e-4	0.35965917068335157	0.33012697594018775
Bowling	1110.0	9.891574633137076e-4	0.8024317230903836	0.7826721063108856
Rollerblading	1110.0	1.6771724259012302e-4	0.5267131636014076	0.5205494730509254
Golfing	1110.0	0.001005377339169484	0.42877859518832273	0.41196249435668486
Boating	1110.0	3.434645722138187e-4	0.5099552569398458	0.49597891600706007
Playing baseball	1110.0	2.811480303680076e-4	0.6022229908597689	0.5703646238490876
Running	1115.0	7.99804344219247e-4	0.5456943406780315	0.585898499835441
Hiking	1115.0	7.96163212761655e-5	0.15738876705686952	0.1701201069990794
Biking	1115.0	0.00073472007041503265	0.8854273548285608	0.9082908817927624
Walking	1115.0	0.0037334348319049745	0.8074848299607087	0.8589434326045314
Doing yoga	1115.0	3.7201706035492753e-4	0.8713944403962794	0.8704919070533735
Fishing	1115.0	9.970270054481237e-4	0.5965043971914838	0.614551244634472
Dancing	1115.0	2.933481169635095e-4	0.3935095558699559	0.3909336611664102
Playing football	1115.0	4.502887230116006e-4	0.46580965485631953	0.5045200616934058
Softball	1115.0	4.919166742748916e-4	0.8260654514443083	0.8115085957898808
Playing soccer	1115.0	6.281360569404844e-4	0.7802963898149363	0.7868231716566957
Doing aerobics	1115.0	3.3260743748305077e-4	0.5437767171699751	0.6103812931277522
Hunting	1115.0	2.965222929553156e-4	0.2728319285478461	0.30177434259301456
